"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-09-16 17:05:01",1758042301816,"servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app/health","GET","",503,"2pktc-1758042301749-ca1d7c17e057","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","error","production","","","lambda","/api/index.py","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","dpl_Cc5dZXbTe2R3UP1KBEyiAEzx9Ran",10,"iad1",175,2048,"","prj_vtFeqHxoEe3S6TE7lgFeHFfAdOot","","","01K59QS9BRDK86PKY6SKHK3ZT6","i26tIfxDcJNs",1
"2025-09-16 17:04:19",1758042259596,"servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app/users","POST","",-1,"rpdql-1758042259500-c918a6e5e122","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","info","production","","","lambda","/api/index.py","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","dpl_Cc5dZXbTe2R3UP1KBEyiAEzx9Ran",-1,"iad1",-1,-1,"127.0.0.1 - - [16/Sep/2025 17:04:19] ""POST /users HTTP/1.1"" 503 -","prj_vtFeqHxoEe3S6TE7lgFeHFfAdOot","","","01K59QR03JR6SR5E5F0GC7KB6Q","",-1
"2025-09-16 17:04:19",1758042259570,"servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app/users","POST","",503,"rpdql-1758042259500-c918a6e5e122","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","error","production","","","lambda","/api/index.py","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","dpl_Cc5dZXbTe2R3UP1KBEyiAEzx9Ran",6,"iad1",175,2048,"","prj_vtFeqHxoEe3S6TE7lgFeHFfAdOot","","","01K59QR03JR6SR5E5F0GC7KB6Q","i26tIfxDcJNs",1
"2025-09-16 17:00:28",1758042028641,"servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app/health","GET","",-1,"2q96v-1758042028542-13970a263fda","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","info","production","","","lambda","/api/index.py","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","dpl_Cc5dZXbTe2R3UP1KBEyiAEzx9Ran",-1,"iad1",-1,-1,"127.0.0.1 - - [16/Sep/2025 17:00:28] ""GET /health HTTP/1.1"" 503 -","prj_vtFeqHxoEe3S6TE7lgFeHFfAdOot","","","01K59QGYJHT8NN0FA58CZ0J8D3","",-1
"2025-09-16 17:00:28",1758042028625,"servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app/health","GET","",503,"2q96v-1758042028542-13970a263fda","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","error","production","","","lambda","/api/index.py","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","dpl_Cc5dZXbTe2R3UP1KBEyiAEzx9Ran",4,"iad1",175,2048,"","prj_vtFeqHxoEe3S6TE7lgFeHFfAdOot","","","01K59QGYJHT8NN0FA58CZ0J8D3","i26tIfxDcJNs",1
"2025-09-16 17:00:26",1758042026927,"servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app/health","GET","",-1,"mz8g7-1758042026850-6753fbbcf281","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","info","production","","","lambda","/api/index.py","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","dpl_Cc5dZXbTe2R3UP1KBEyiAEzx9Ran",-1,"iad1",-1,-1,"127.0.0.1 - - [16/Sep/2025 17:00:26] ""GET /health HTTP/1.1"" 503 -","prj_vtFeqHxoEe3S6TE7lgFeHFfAdOot","","","01K59QGWX07Y07D87KGRDH0M7X","",-1
"2025-09-16 17:00:26",1758042026912,"servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app/health","GET","",503,"mz8g7-1758042026850-6753fbbcf281","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","error","production","","","lambda","/api/index.py","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","dpl_Cc5dZXbTe2R3UP1KBEyiAEzx9Ran",4,"iad1",175,2048,"","prj_vtFeqHxoEe3S6TE7lgFeHFfAdOot","","","01K59QGWX07Y07D87KGRDH0M7X","i26tIfxDcJNs",1
"2025-09-16 17:00:26",1758042026486,"servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app/health","GET","",-1,"x99xr-1758042026410-7c553915ef87","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","info","production","","","lambda","/api/index.py","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","dpl_Cc5dZXbTe2R3UP1KBEyiAEzx9Ran",-1,"iad1",-1,-1,"127.0.0.1 - - [16/Sep/2025 17:00:26] ""GET /health HTTP/1.1"" 503 -","prj_vtFeqHxoEe3S6TE7lgFeHFfAdOot","","","01K59QGWF8CJYA9G3PV7F7QT5G","",-1
"2025-09-16 17:00:26",1758042026472,"servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app/health","GET","",503,"x99xr-1758042026410-7c553915ef87","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","error","production","","","lambda","/api/index.py","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","dpl_Cc5dZXbTe2R3UP1KBEyiAEzx9Ran",5,"iad1",175,2048,"","prj_vtFeqHxoEe3S6TE7lgFeHFfAdOot","","","01K59QGWF8CJYA9G3PV7F7QT5G","i26tIfxDcJNs",1
"2025-09-16 17:00:25",1758042025956,"servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app/health","GET","",-1,"sjrzg-1758042025878-35a96e8775fe","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","info","production","","","lambda","/api/index.py","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","dpl_Cc5dZXbTe2R3UP1KBEyiAEzx9Ran",-1,"iad1",-1,-1,"127.0.0.1 - - [16/Sep/2025 17:00:25] ""GET /health HTTP/1.1"" 503 -","prj_vtFeqHxoEe3S6TE7lgFeHFfAdOot","","","01K59QGVYNWSCGETD58DE1BVDJ","",-1
"2025-09-16 17:00:25",1758042025941,"servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app/health","GET","",503,"sjrzg-1758042025878-35a96e8775fe","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","error","production","","","lambda","/api/index.py","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","dpl_Cc5dZXbTe2R3UP1KBEyiAEzx9Ran",6,"iad1",175,2048,"","prj_vtFeqHxoEe3S6TE7lgFeHFfAdOot","","","01K59QGVYNWSCGETD58DE1BVDJ","i26tIfxDcJNs",1
"2025-09-16 17:00:25",1758042025659,"servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app/health","GET","",-1,"qfgh8-1758042025567-04e2ee65234b","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","info","production","","","lambda","/api/index.py","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","dpl_Cc5dZXbTe2R3UP1KBEyiAEzx9Ran",-1,"iad1",-1,-1,"127.0.0.1 - - [16/Sep/2025 17:00:25] ""GET /health HTTP/1.1"" 503 -","prj_vtFeqHxoEe3S6TE7lgFeHFfAdOot","","","01K59QGVNCRZS41VMJ264FTKA7","",-1
"2025-09-16 17:00:25",1758042025644,"servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app/health","GET","",503,"qfgh8-1758042025567-04e2ee65234b","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","error","production","","","lambda","/api/index.py","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","dpl_Cc5dZXbTe2R3UP1KBEyiAEzx9Ran",4,"iad1",173,2048,"","prj_vtFeqHxoEe3S6TE7lgFeHFfAdOot","","","01K59QGVNCRZS41VMJ264FTKA7","i26tIfxDcJNs",1
"2025-09-16 17:00:24",1758042024994,"servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app/health","GET","",-1,"qlnhx-1758042024770-a0dfeeae4aa5","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36","info","production","","","lambda","/api/index.py","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","servico-usuarios-cf3drikzj-jeanmnorhens-projects.vercel.app","dpl_Cc5dZXbTe2R3UP1KBEyiAEzx9Ran",-1,"iad1",-1,-1,"127.0.0.1 - - [16/Sep/2025 17:00:24] ""GET /health HTTP/1.1"" 503 -","prj_vtFeqHxoEe3S6TE7lgFeHFfAdOot","","","01K59QGV0KP5DW0XWRBEQK14SP","",-1
